"","teamind01","teamind02","teamind03","teamind04","teamind05","teamind06","teamind07","teamind08","teamind09","teamind10","teamind11","teamind12","teamind13","teamind14","teamind15","teamind16","teamind17","teamind18","teamind19","teamind20"
"114",3,3,5,3,3,4,3,3,3,3,2,1,3,3,3,4,2,3,4,3
"115",5,5,5,4,2,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5
"117",5,4,4,4,2,4,4,5,5,1,5,2,5,5,5,3,4,3,1,4
"118",5,3,3,5,1,5,4,4,5,5,2,4,5,5,5,5,2,5,5,4
"119",4,5,4,5,2,5,5,1,4,4,4,2,5,4,5,4,3,5,5,5
"121",5,4,5,5,2,5,5,1,5,3,4,4,5,5,5,4,3,5,5,5
"122",4,3,3,3,2,2,3,2,3,1,4,2,4,4,4,3,4,2,3,2
"123",4,1,4,5,1,4,4,4,5,4,5,5,5,5,5,2,2,5,5,5
"124",5,2,3,4,2,1,5,5,3,4,4,2,5,4,5,5,5,5,5,3
"125",5,4,4,5,2,4,5,3,5,3,3,1,5,5,4,3,4,4,5,4
"126",5,3,2,4,1,2,3,1,5,2,3,2,5,5,5,3,3,5,4,5
"127",4,3,3,2,2,3,4,3,4,3,3,2,5,3,4,1,4,5,4,3
"128",4,5,2,5,5,3,5,1,3,4,4,1,3,4,5,4,1,5,5,5
"129",5,4,4,3,4,3,2,1,4,3,3,3,3,4,4,3,4,4,4,3
"130",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
"131",5,4,4,4,3,4,4,4,5,4,2,5,3,3,4,4,3,5,5,4
"132",3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
"133",4,4,3,5,2,4,4,3,4,4,4,1,4,3,4,3,3,5,4,4
"135",5,5,2,5,1,4,4,4,5,5,2,5,5,5,5,3,4,5,5,4
"136",5,4,1,5,3,1,5,3,5,4,5,2,5,4,5,4,2,4,5,5
"137",3,4,3,4,2,3,4,4,2,3,3,2,5,3,5,4,3,3,5,4
"138",4,3,3,2,2,2,4,4,3,4,4,4,4,4,4,4,2,5,3,3
"139",3,3,2,3,3,2,3,4,3,4,2,3,3,4,4,2,5,4,4,3
"140",2,3,3,4,3,4,3,3,4,3,5,3,2,3,4,2,3,3,2,3
"141",3,4,4,4,4,4,4,4,3,4,3,2,3,4,4,3,2,2,4,4
"142",4,4,4,4,2,3,4,3,3,4,2,2,4,2,2,4,3,4,4,4
"143",5,3,3,4,4,4,5,1,4,1,5,2,5,4,5,1,3,5,4,5
"144",5,3,2,3,5,3,3,3,5,2,3,4,5,3,5,1,4,4,4,3
"145",4,1,4,4,3,1,4,5,2,3,5,1,5,3,5,4,3,2,5,5
"146",3,5,1,4,2,4,3,1,5,4,5,2,5,5,5,4,2,5,4,1
"147",4,5,2,1,1,3,5,5,5,5,5,5,5,5,3,5,3,2,5,5
"148",5,3,4,5,2,2,5,3,3,2,3,3,4,4,5,5,5,5,5,5
"149",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,4
"150",5,3,2,3,2,3,3,3,5,3,3,3,3,3,5,4,4,5,5,3
"152",5,5,2,5,4,2,4,5,5,5,4,4,4,5,3,2,3,5,5,4
"153",2,5,4,4,2,4,4,5,2,3,4,1,2,2,4,4,5,3,4,4
"154",5,4,4,4,4,5,5,1,4,4,5,4,4,3,5,2,4,4,4,5
"155",5,1,3,1,4,5,1,3,5,3,5,5,5,5,5,1,5,5,5,5
"156",4,3,2,5,4,3,2,2,3,2,4,5,5,5,5,2,4,5,5,4
"157",5,5,3,5,2,4,5,5,3,3,5,4,5,4,5,3,5,5,5,5
"160",5,5,3,5,4,1,4,5,5,5,5,5,4,5,4,1,1,4,5,5
"161",4,2,3,3,3,3,3,3,4,3,3,2,5,4,3,3,3,4,4,4
"162",4,2,2,5,3,1,4,1,3,5,4,1,5,4,5,4,4,5,5,5
"163",5,5,5,5,1,5,5,5,5,5,3,4,1,5,3,5,5,5,5,5
"164",5,3,5,5,2,4,4,3,3,4,3,2,4,4,3,2,2,5,5,2
"165",5,5,5,5,5,5,5,5,5,3,2,4,5,5,4,3,4,4,5,3
"166",3,3,2,3,4,3,4,3,3,4,3,2,4,3,4,3,3,3,4,4
"167",2,4,4,3,2,2,3,1,2,3,2,5,2,2,3,3,3,4,4,3
"168",4,4,3,4,3,1,4,2,5,4,5,2,4,3,5,3,3,5,5,4
"169",4,4,5,4,3,4,4,4,3,4,5,4,5,5,5,5,5,5,5,4
"170",5,5,4,4,3,4,4,2,3,4,3,4,5,3,5,4,4,5,4,4
"171",5,5,5,5,5,4,4,4,5,4,5,5,4,4,5,1,4,5,5,4
"172",5,4,2,5,4,1,5,2,5,1,3,5,5,5,5,4,5,4,5,4
"173",5,4,2,5,1,1,4,4,5,4,5,2,5,5,5,1,5,3,5,5
"174",3,4,3,4,1,4,4,4,4,3,2,2,4,2,2,2,3,4,5,4
"175",3,3,3,4,2,4,4,2,3,4,3,2,3,3,4,4,3,5,4,3
"176",4,3,4,2,3,4,4,4,4,2,2,4,4,4,4,2,3,5,4,3
"177",3,3,3,4,3,4,4,3,3,4,4,3,3,3,3,4,3,4,4,4
"178",3,3,3,4,2,3,3,3,3,4,3,3,3,3,3,4,3,2,4,4
"179",4,4,5,4,2,2,4,3,5,4,3,4,4,4,3,4,3,5,5,5
"180",5,3,3,5,1,1,5,3,5,3,5,4,4,5,5,3,3,5,5,5
"181",5,1,2,4,3,2,5,4,5,3,5,3,5,4,4,4,4,4,5,4
"182",4,4,1,5,3,4,5,3,4,5,5,2,4,5,4,5,5,5,5,5
"184",4,3,2,4,2,3,4,3,4,3,1,4,4,4,5,4,4,3,4,4
"185",3,3,3,3,3,3,4,4,4,4,2,4,3,4,4,3,3,3,4,3
"186",4,2,2,2,5,1,1,2,5,1,3,5,4,5,5,1,3,5,4,4
"187",5,5,1,5,5,4,5,1,5,5,5,2,5,5,5,5,5,5,5,5
"188",5,5,1,5,2,1,5,1,5,3,5,1,5,5,5,2,3,5,5,5
"189",5,2,2,4,2,4,4,4,4,3,2,4,5,4,5,4,4,4,4,4
"191",4,3,3,4,2,4,5,4,4,4,3,2,4,4,3,3,3,4,4,4
"192",5,4,1,5,4,1,4,4,5,4,5,4,5,5,5,2,5,5,5,4
"193",5,5,5,3,4,1,4,4,5,3,5,2,5,5,4,5,4,3,4,2
"194",4,3,4,4,2,4,3,4,4,4,4,2,4,4,4,3,3,4,4,3
"195",5,5,3,5,3,2,5,3,5,2,5,3,5,5,5,4,3,5,5,5
"196",5,4,3,5,2,4,4,4,3,4,5,4,4,3,5,3,3,3,5,5
"197",3,4,4,4,3,5,4,3,3,4,3,2,3,3,5,3,4,3,4,3
"198",5,3,2,3,4,2,4,2,4,2,3,2,5,4,5,2,3,5,5,3
"199",4,5,3,3,3,3,4,3,5,5,3,2,3,3,3,5,3,3,5,3
"201",4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
"203",3,4,4,4,2,4,5,4,5,3,3,1,4,3,5,3,3,3,5,4
"204",4,4,2,4,4,4,5,3,4,4,3,3,4,4,4,5,4,4,4,3
"205",4,2,4,4,3,1,4,3,4,4,5,3,5,4,5,4,4,5,4,4
"206",3,3,5,5,2,3,5,2,3,3,4,5,4,4,5,2,3,5,4,2
"207",5,3,2,2,3,2,2,1,4,2,5,4,5,3,4,2,5,4,4,4
"208",5,1,2,5,5,1,5,1,4,1,5,2,5,5,5,4,5,5,5,4
"209",3,2,3,2,3,3,3,3,3,2,3,3,3,4,3,3,2,3,4,5
"210",4,2,2,2,4,2,1,3,4,2,4,5,4,4,5,2,3,4,2,1
"211",5,3,3,3,3,3,4,3,5,2,4,2,5,5,5,3,4,3,3,3
"212",3,2,3,4,4,3,3,3,4,3,2,5,5,4,5,3,4,5,4,3
"213",4,4,4,5,2,3,4,4,4,2,3,3,4,4,4,3,4,4,5,3
"214",5,3,1,4,5,2,3,1,4,1,3,4,4,3,2,3,1,4,4,4
"215",4,4,4,4,3,3,4,3,3,3,5,2,3,3,4,3,4,3,4,3
"216",3,2,3,3,3,3,2,1,4,3,3,3,3,3,3,3,3,4,3,3
"217",3,3,4,5,2,4,4,3,2,4,1,1,3,2,3,3,2,3,3,4
"218",5,2,4,4,3,1,4,4,4,3,2,3,3,4,5,3,3,4,4,4
"219",5,5,2,5,2,2,5,4,4,4,3,2,4,4,4,4,3,5,5,4
"221",5,5,1,5,1,5,5,5,5,5,5,1,5,5,5,5,4,5,5,1
"222",4,3,4,4,2,3,3,3,3,3,5,1,4,3,5,3,3,4,4,4
"223",3,3,4,3,3,2,4,4,2,2,3,2,5,3,4,3,3,4,4,4
"224",5,5,3,5,3,3,5,5,4,2,5,3,5,3,5,4,5,5,5,5
"225",5,4,4,4,2,2,4,4,4,4,5,2,5,5,5,4,4,4,5,4
"226",4,2,2,2,1,2,4,1,3,2,4,2,4,4,5,3,3,4,5,4
"228",2,4,3,4,2,4,3,4,3,4,2,3,3,2,3,3,2,3,5,3
"229",5,2,3,3,2,4,1,3,1,1,5,3,3,2,4,4,4,2,3,4
"230",4,5,5,5,1,5,5,5,4,5,4,1,4,4,5,5,4,4,5,5
"231",3,2,4,5,3,3,5,4,4,4,5,3,4,5,5,5,3,5,5,5
"232",5,5,3,4,4,4,4,3,5,3,5,4,5,5,5,4,4,4,4,4
"233",5,3,2,4,3,2,4,3,5,4,5,2,4,4,5,1,4,4,5,4
"234",4,5,4,4,2,4,5,5,4,4,2,1,5,5,5,5,2,3,5,4
"235",3,2,2,1,3,2,1,3,5,1,3,1,5,4,5,3,5,3,4,1
"236",4,4,4,3,2,3,3,4,3,2,5,1,5,3,5,3,4,4,3,3
"237",3,3,4,4,2,3,4,4,4,2,5,1,5,3,4,1,5,2,4,5
"238",5,4,3,5,4,5,4,3,5,5,3,3,5,3,4,4,3,5,5,4
"239",3,4,3,3,3,3,3,4,2,4,5,1,4,2,5,4,3,3,5,5
"240",5,4,2,4,4,4,4,3,4,3,3,3,4,3,5,4,3,5,4,3
"241",5,4,4,4,2,4,4,5,4,3,5,3,5,5,5,1,4,5,5,4
"243",5,3,3,4,2,4,4,2,4,4,4,2,4,3,5,2,4,4,3,3
"244",4,3,2,2,3,2,3,2,4,2,4,4,4,4,5,2,4,4,4,4
"245",3,2,2,4,4,3,3,3,3,4,3,2,3,4,4,3,3,5,3,4
"246",4,3,4,3,2,4,3,4,4,2,5,2,4,4,4,2,3,5,5,4
"247",5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5
"248",3,4,4,5,2,5,4,5,5,5,3,4,5,5,5,1,3,3,5,4
"249",5,4,2,3,3,3,3,3,5,2,3,3,5,5,5,5,5,5,4,4
"250",3,3,3,3,2,3,3,3,2,4,4,2,3,2,4,2,2,3,4,3
"251",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"252",4,2,3,2,2,4,4,2,3,4,4,2,3,4,5,3,4,3,4,4
"253",3,3,5,5,1,5,5,5,5,3,5,1,4,4,5,3,5,3,5,5
"255",5,4,4,4,2,3,5,4,4,4,4,3,3,4,5,4,3,4,5,4
"256",5,5,3,5,4,1,5,5,4,3,1,4,5,5,5,5,5,5,5,3
"257",5,3,3,5,2,4,4,3,4,4,5,5,5,4,5,3,5,5,5,5
"258",5,3,3,4,3,3,3,4,5,4,3,5,4,3,4,4,4,2,5,1
"260",3,3,2,3,2,2,4,4,5,3,3,3,5,5,4,4,4,3,5,3
"261",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"262",4,4,3,4,2,3,4,4,4,4,4,3,3,4,4,4,3,3,4,4
"263",3,5,3,3,3,4,1,3,5,2,2,4,4,4,3,4,4,4,4,4
"264",4,3,4,5,2,4,4,2,5,4,4,2,3,4,4,3,4,3,4,4
"265",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3
"266",5,5,5,5,2,5,5,4,5,5,5,3,5,5,5,5,4,5,5,5
"267",4,4,3,4,3,3,4,2,5,1,3,3,5,4,5,4,2,5,5,4
"268",4,3,2,4,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4
"269",5,5,3,5,3,3,5,5,5,1,5,1,5,5,5,5,5,5,5,5
"270",3,4,2,4,2,3,4,3,3,4,4,1,4,3,4,3,4,3,3,4
"271",5,3,4,4,2,3,4,2,3,2,5,3,4,3,3,3,3,3,4,3
"272",4,4,2,4,2,4,5,2,5,4,3,1,4,4,5,5,2,1,5,4
"273",5,2,4,1,3,2,4,3,4,2,4,3,4,5,4,2,3,2,2,3
"274",5,4,4,5,3,4,4,4,3,4,5,4,4,4,5,4,2,4,5,3
"275",5,5,3,5,2,3,2,3,5,4,2,2,5,4,5,4,3,4,4,4
"276",3,3,4,3,4,3,3,2,4,4,3,4,4,4,4,4,2,5,4,4
"277",4,4,3,3,3,3,4,3,3,2,3,3,4,4,4,4,2,3,5,3
"278",5,4,3,4,2,4,4,3,5,3,5,4,3,5,4,3,3,4,4,4
"279",5,4,2,4,5,1,4,5,4,2,5,2,5,5,5,5,2,5,5,5
"280",5,4,4,5,3,4,5,3,4,4,3,3,4,4,5,3,3,5,5,4
"281",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"282",5,5,2,5,1,2,5,5,5,5,1,4,5,5,5,5,3,5,5,5
"283",3,4,4,4,4,4,4,3,4,4,4,3,4,4,3,3,4,2,5,4
"284",3,3,3,4,3,3,4,3,4,3,4,3,3,3,3,3,3,3,4,3
"285",3,3,4,4,3,3,4,4,2,4,3,3,4,3,4,3,3,4,4,4
"286",5,4,4,3,4,4,4,4,3,4,4,4,4,5,4,4,3,5,5,4
"287",1,3,3,3,2,3,3,3,2,3,3,1,3,3,3,2,3,3,4,3
"288",4,4,3,4,3,2,4,4,3,4,5,2,3,3,5,3,3,4,5,4
"289",5,4,3,4,4,3,4,5,3,2,5,2,4,4,5,4,4,5,5,4
"290",2,2,1,2,4,3,3,1,2,2,5,2,4,2,3,1,3,5,1,4
"291",5,4,4,4,1,4,3,4,5,3,5,2,3,4,4,3,3,5,5,4
"292",3,3,5,3,3,4,3,4,5,1,5,5,3,3,5,4,2,2,4,3
"293",5,5,3,4,2,5,5,3,5,4,4,4,5,4,5,3,4,4,5,4
"294",4,4,4,5,2,2,4,2,4,4,5,4,4,3,4,4,4,4,4,4
"295",4,4,4,4,4,4,4,2,3,3,1,2,3,3,3,3,2,5,5,4
"297",3,3,2,3,4,3,4,2,3,4,3,2,3,3,3,3,3,3,4,4
"298",4,3,3,5,3,4,5,4,5,3,4,3,3,5,3,3,3,5,3,3
"299",5,4,4,4,3,4,4,4,4,4,2,2,4,4,5,3,4,5,5,3
"300",5,3,3,4,2,2,4,3,4,2,4,2,4,5,5,3,4,4,5,4
"301",5,4,5,5,4,4,5,5,4,5,5,1,5,5,5,1,5,5,5,5
"302",5,5,5,5,4,4,5,4,4,5,2,2,5,4,5,4,4,4,5,5
"303",5,5,3,4,2,1,4,3,4,4,4,4,5,4,5,4,3,5,5,4
"306",4,5,4,4,3,4,5,1,5,4,5,1,4,3,5,2,4,5,5,5
"307",5,4,4,4,3,4,4,4,4,4,2,3,5,4,4,3,5,5,4,4
"308",2,2,4,4,3,2,4,3,3,4,3,5,3,3,4,3,2,4,4,3
"309",5,5,5,5,1,1,5,3,5,5,5,5,5,5,5,1,5,5,5,5
"310",5,4,1,5,1,1,5,4,5,4,2,5,3,5,5,2,3,4,5,5
"311",4,2,4,4,1,4,4,4,4,3,2,2,4,3,4,3,4,3,5,4
"312",5,5,5,5,5,3,5,5,4,5,5,1,4,5,5,5,1,4,5,5
"313",4,3,2,4,5,3,4,3,5,3,5,2,5,5,5,3,1,4,4,4
"314",4,4,4,4,2,4,5,1,4,5,5,2,3,4,4,3,3,3,4,4
"315",5,5,5,5,4,5,5,2,5,5,5,2,5,5,5,4,4,5,5,5
"316",3,5,5,5,3,5,5,3,5,3,1,3,5,3,3,1,5,3,5,5
"317",5,3,4,4,2,4,4,4,5,4,5,2,5,5,5,4,4,5,4,4
"318",3,3,3,5,2,3,2,2,5,4,2,3,5,4,4,3,2,5,3,3
"319",5,3,1,5,4,1,3,3,4,3,5,1,5,4,5,3,3,5,5,4
"320",5,2,2,4,2,4,3,1,5,2,3,1,3,4,5,4,4,5,4,4
"321",5,4,4,5,2,5,4,2,5,3,5,5,5,5,5,4,5,5,5,5
"322",2,4,3,3,1,4,4,2,2,2,1,2,4,2,5,2,2,3,5,4
"323",3,3,3,3,3,3,3,2,3,3,3,3,5,4,3,3,4,4,5,3
"324",4,4,3,3,3,3,4,3,3,3,3,3,4,3,4,4,2,4,5,3
"325",4,2,2,3,2,2,4,2,4,3,3,5,4,5,5,1,4,4,3,3
"326",5,4,2,4,3,3,4,2,4,4,3,4,5,4,4,1,4,5,4,2
"327",5,3,4,3,3,3,5,3,3,3,4,2,4,3,4,3,2,3,5,3
"328",4,4,4,4,2,4,4,1,4,2,3,3,4,4,4,3,3,4,4,3
"329",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"330",4,4,2,4,3,4,4,4,4,5,4,1,4,4,4,4,4,5,5,5
"331",3,4,4,4,4,4,5,3,3,3,3,3,4,3,5,4,5,5,4,4
"332",5,5,3,5,3,3,5,5,5,1,5,4,5,5,5,2,4,5,5,4
"333",5,3,1,5,3,2,4,3,5,2,3,4,3,5,5,1,3,3,4,4
"334",3,2,2,3,3,4,3,2,3,3,3,5,5,3,3,3,3,4,3,3
"335",4,1,1,1,2,1,4,3,5,2,2,5,4,5,4,3,5,3,3,3
"336",5,4,4,3,2,2,1,3,5,3,4,2,5,4,5,4,4,3,4,3
"337",5,5,3,5,1,1,5,1,3,5,5,2,3,3,4,1,4,4,5,5
"338",3,4,3,4,3,4,4,4,5,4,5,3,5,5,5,4,4,3,5,4
"339",3,4,2,2,2,3,4,1,3,2,5,2,3,3,4,4,5,3,3,1
"340",4,4,4,4,4,4,4,3,4,2,3,2,4,4,5,4,4,5,5,4
"342",5,4,3,5,3,4,5,4,4,5,3,2,4,5,4,3,3,4,4,4
"343",5,4,3,3,3,3,4,3,5,1,1,2,5,3,3,5,5,5,5,5
"345",4,3,4,4,2,5,3,3,4,2,3,1,4,4,5,4,4,2,5,4
"346",5,4,2,5,5,2,4,4,5,4,5,5,5,5,5,3,4,5,5,4
"347",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
